durasi;REV_VOICE;Rasio.on.net;REV_SMS;REV_DATA
112;91800;1;9250;80
393.6666667;17349.33333;0.936696429;11325;29304
62.33333333;30594.33333;0.446253933;28150;500
88.66666667;59601.66667;0.902914654;12658.33333;159001.3333
1932;253960.3333;0.998198198;40175;148487
224.3333333;140186.6667;0.925041427;80083.33333;180
250.6666667;98496.66667;0.964465564;10050;5580
219.3333333;163873.3333;0.512745328;47608.33333;61638
990;287675.3333;0.94650632;49608.33333;113333.3333
61;31851;0.936155914;43408.33333;24036
36.66666667;60821.66667;0.757459208;57916.66667;300
251;79473;0.991150443;6175;9853.333333
22.66666667;15689;0.916666667;40233.33333;60
5;8692.5;1;14700;312777
346.6666667;63208.66667;1;8050;120
47.33333333;65794.66667;0.483487654;10791.66667;4000
889.3333333;33832.66667;1;19666.66667;34994
46;44615;0.970665698;39647.33333;1680
144.6666667;59096.33333;0.835777126;12658.33333;269197
260.6666667;153997.6667;1;15891.66667;20001
158.3333333;57040.66667;1;11491.66667;60
399.3333333;17434;0.986486487;550;51666.66667
56.33333333;6217.666667;0.977777778;8975;89230
3.333333333;8751.666667;0.456349206;4016.666667;124078.6667
258.6666667;195583;0.994584616;2633.333333;120
44.33333333;35804.66667;0.625396825;1500;174714.6667
126.6666667;230428;0.675692059;3591.666667;660
1365.333333;288883;0.975944467;24833.33333;5573
672.3333333;176542.3333;0.997025901;32100;2030
3740;189831.3333;0.998800645;4938.666667;750
42.33333333;31912;0.924879043;54700;85697
607.3333333;31823;1;27291.66667;142
12.33333333;24818.66667;0.861823362;3225;70100
17.33333333;29076.33333;0.928870919;8150;116668
179.6666667;20310.33333;1;7050;88560
147;128965;0.575660377;15858.33333;1500
476;57105.33333;0.984472935;124100;12560.5
372.6666667;94796.33333;0.985431235;32247.33333;4123
726.3333333;242655;0.995726496;20550;86
179;13776.66667;1;31751;60273
508;97477.66667;0.923986705;3600;60
1.666666667;1503;0.545238095;37108.33333;116666.6667
1235;65206.33333;0.96194332;12758.33333;128180
4.333333333;7395.666667;0.933333333;10358.33333;52452
185.6666667;148886.6667;0.994053985;81066.66667;16345
137;17978.66667;0.963383838;8875;84037.66667
353.3333333;33344.66667;0.926177536;52600;2920.666667
50.66666667;60503;0.978942652;10191.66667;51183.33333
22;17203.33333;0.918560606;4308.333333;67247.33333
64;65447;0.823512907;1600;229737
167.3333333;232965.6667;0.914336849;5166.666667;12500.5
208.3333333;176453;0.925330027;1875;3750
329;103827.6667;1;33766.66667;27557.66667
30.66666667;60569;0.873665332;16174;1140
1588.666667;138860.6667;1;36141.66667;207028.6667
790;44207.66667;1;36416.66667;35648
28;24370.33333;1;26275;22491
1188.333333;59966.66667;1;10016.66667;7468.666667
64.33333333;50795.33333;0.967523665;5366.666667;181602.3333
264.3333333;40046.33333;0.86631016;15283.33333;51640
465.3333333;70183.66667;0.773445053;2616.666667;17506.66667
185;40235;0.995884774;9075;82094
529;58989.66667;0.994708995;22258.33333;354.5
739;216693;0.974780985;36808.33333;10584
0;3039;1;837.5;143613.6667
99.66666667;88656.66667;0.97981335;11766.66667;540
1;1174;0.5;1524;386915
429;133469;0.854246288;6908.333333;206164.6667
71.66666667;30490.66667;1;24666.66667;84377.33333
40.66666667;22524;0.564814815;2375;246304.6667
48;41224.66667;0.893466899;32916.66667;36333.33333
145.3333333;82500;0.46904085;1925;33916.66667
612;119994.3333;0.947341937;8433.333333;60
126;75788.66667;0.661583572;47319;11820
119.6666667;3784.333333;1;1841.333333;100913.3333
22.5;5787;1;1575;45166.66667
21.66666667;18147.66667;0.953333333;19555.66667;66186
69;93674;0.694625142;5066.666667;101906.6667
181;37216.33333;0.891197691;10075;771.6666667
162.3333333;49193.33333;1;6583.333333;6060
102.3333333;84037;0.844205821;6126.333333;19566
62;27590.66667;0.908502252;35800;187217.6667
416.6666667;63949.33333;0.990919199;6800;75953
7.666666667;38564.33333;0.518293549;14383.33333;104415
1;5120.666667;0.614814815;975;182891.3333
252.6666667;125357.6667;0.996226415;31591.66667;10397
15;8733;1;854;59751.66667
17.5;11672;1;7458.333333;209653.3333
50;99642.66667;0.44013949;7891.666667;294670
4;3280;1;1524;73337.66667
306.6666667;74525;0.968451508;850;28835
0;1188.333333;0.933333333;814;64923.66667
56;125925;0.664758877;3566.666667;78650.33333
85.33333333;34907;0.840659341;14608.33333;62951.66667
3.666666667;13410;0.56497669;4733.333333;135178
30;72994.66667;0.669178869;12316.66667;75000
4;22240;0.431216931;1125;81806.66667
241;23564.66667;0.929761905;1150.333333;230218.3333
3;11942.33333;0.655258467;6600;67433.33333
90;39407;1;858.3333333;88814.5
328;25649.5;0.68245614;11750;41733.66667
228.3333333;465270.6667;0.88214966;79241.66667;9120
4.5;4245;0.6;5835.5;75527.66667
10.66666667;26703.33333;0.746464647;69641.66667;2130
612;365742.6667;0.767059166;15733.33333;44313.33333
2.333333333;4243.333333;0.733333333;4283.333333;228088.3333
2.333333333;6494.333333;1;1883.333333;71167
5;15645.5;0.961538462;3758.333333;213740
656.3333333;87566.33333;0.991532465;31966.66667;3398
52.33333333;85896.66667;0.948379209;6675;45893.33333
271;26369.66667;0.993650794;10820.33333;161569.3333
495.3333333;189035;0.989345179;19950;50002
129;33856;0.447619048;42875;66201
45;9218;1;275;123000.3333
616.3333333;25704.33333;1;51400;57866
1033;337731.3333;0.753031943;12891.66667;50230
1;2379.5;0;1712.666667;87789
55.66666667;3364.333333;0.966666667;1010;108559.6667
40.66666667;74028.33333;0.456667077;19825;2040
416.6666667;93381;0.974539207;10166.66667;6508.5
72.33333333;8504.666667;1;1466.666667;71765
8.666666667;8227.666667;0.958333333;11875;130618.6667
41.33333333;75672;0.856356908;27916.66667;4453
950.3333333;144451.6667;0.976484522;83683.33333;340
175.3333333;20028.66667;0.885531136;63541.66667;1050
148.3333333;70589.66667;0.994047619;2150;360
94.33333333;68901.66667;0.978572177;1275;7526.666667
38.66666667;34937;0.583333333;2275;78657.66667
1050.666667;181534.3333;0.999424295;69183.33333;38930
33.33333333;89366.33333;0.501639581;19608.33333;65824.33333
95.33333333;53908.33333;0.977777778;7758.333333;55475
223.3333333;64615;0.996632997;7341.666667;47499.66667
12.33333333;27887.66667;0.65331384;4033.333333;104679.3333
29.66666667;42253.33333;0.388759255;29150;59420
51.66666667;36230.33333;1;3883.333333;50242
621;76369.33333;0.990799587;17833.33333;10647
10;8524;0.866666667;10637.5;115563.3333
2473;191176;0.998612952;61708.33333;60
12.33333333;31356;0.552087204;7708.333333;177666.6667
1034;22116.66667;1;3516.666667;156652.5
418;149429.3333;0.985334494;19675;60
184.3333333;129906.6667;0.983216783;22558.33333;5580
739.6666667;55996.66667;0.970902204;27325;8909
607.3333333;125989.3333;0.900447668;20175;119319
1;801;1;2808.333333;119810.6667
181.6666667;48596;1;4133.333333;112.3333333
3105.666667;208131.3333;1;55158;66926.33333
141;26376;0.944444444;5650;45679
539.3333333;56317.33333;1;13975;10180
7;35317.33333;0.521212121;6775;48527.33333
172.3333333;73883.66667;1;11091.66667;53806
17;17311;0.45;1203.5;120
739;212796;0.921420714;15058.33333;23112.5
2445;315060.6667;0.987092626;63358.33333;25001
29.33333333;48393;0.4737646;1650;101100
326.6666667;95126.66667;1;8575;25738
64.66666667;27577.33333;0.955388471;69583.33333;920
6.666666667;13277.66667;1;24091.66667;151476.6667
61.66666667;84630.33333;0.912822636;14141.66667;10000
