"ahh","pdb","amh","rata.sekolah","kode","grup"
62.4,596.21,94.5,6.1,"Kab. Simeulue2004","tidak baik"
62.52,603.44,94.8,6.1,"Kab. Simeulue2005","tidak baik"
62.7,606.65,98.3,6.2,"Kab. Simeulue2006","tidak baik"
62.75,613.41,98.3,7.6,"Kab. Simeulue2007","tidak baik"
62.84,617.07,98.3,8,"Kab. Simeulue2008","tidak baik"
62.91,617.1,98.58,8.3,"Kab. Simeulue2009","tidak baik"
62.98,618.86,98.66,8.52,"Kab. Simeulue2010","tidak baik"
63.05,622.72,98.85,8.62,"Kab. Simeulue2011","tidak baik"
63.12,625.59,99.29,8.63,"Kab. Simeulue2012","baik"
63,588.2,96.22,7.67,"Kab. Aceh Singkil2004","tidak baik"
63.16,595.92,96.2,7.7,"Kab. Aceh Singkil2005","tidak baik"
64,599.1,96.2,7.7,"Kab. Aceh Singkil2006","tidak baik"
64.27,607.59,96.2,7.7,"Kab. Aceh Singkil2007","tidak baik"
64.46,608.18,96.2,7.7,"Kab. Aceh Singkil2008","tidak baik"
64.69,608.22,96.22,7.74,"Kab. Aceh Singkil2009","tidak baik"
64.92,610.14,96.24,7.76,"Kab. Aceh Singkil2010","tidak baik"
65.1,613.88,96.25,7.77,"Kab. Aceh Singkil2011","tidak baik"
65.28,617.48,96.25,7.78,"Kab. Aceh Singkil2012","tidak baik"
65.5,582.46,95.66,8.09,"Kab. Aceh Selatan2004","tidak baik"
65.73,588.66,96.42,8.2,"Kab. Aceh Selatan2005","tidak baik"
66.5,591.8,96.42,8.2,"Kab. Aceh Selatan2006","tidak baik"
66.61,596.92,96.42,8.2,"Kab. Aceh Selatan2007","tidak baik"
66.71,600.21,96.42,8.2,"Kab. Aceh Selatan2008","tidak baik"
66.82,604.59,96.47,8.28,"Kab. Aceh Selatan2009","tidak baik"
66.93,606.47,96.53,8.43,"Kab. Aceh Selatan2010","tidak baik"
67.03,610.56,96.55,8.44,"Kab. Aceh Selatan2011","baik"
67.14,614.19,96.55,8.45,"Kab. Aceh Selatan2012","baik"
68.6,580.19,96.04,9.34,"Kab. Aceh Tenggara2004","tidak baik"
68.91,586,96.94,9.3,"Kab. Aceh Tenggara2005","baik"
69.1,589.12,96.94,9.3,"Kab. Aceh Tenggara2006","baik"
69.11,593.99,96.94,9.3,"Kab. Aceh Tenggara2007","baik"
69.16,594.03,96.94,9.3,"Kab. Aceh Tenggara2008","baik"
69.19,596.01,97.1,9.34,"Kab. Aceh Tenggara2009","baik"
69.22,597.96,97.95,9.35,"Kab. Aceh Tenggara2010","baik"
69.26,602.06,97.97,9.36,"Kab. Aceh Tenggara2011","baik"
69.29,605.79,97.97,9.37,"Kab. Aceh Tenggara2012","baik"
68.5,568.91,96.7,8.06,"Kab. Aceh Timur2004","tidak baik"
69.1,569.83,97.24,8.28,"Kab. Aceh Timur2005","tidak baik"
69.3,572.87,97.24,8.4,"Kab. Aceh Timur2006","tidak baik"
69.41,579.33,97.24,8.4,"Kab. Aceh Timur2007","tidak baik"
69.52,580.16,97.35,8.4,"Kab. Aceh Timur2008","tidak baik"
69.63,586.29,97.51,8.49,"Kab. Aceh Timur2009","baik"
69.74,588.15,98.21,8.49,"Kab. Aceh Timur2010","baik"
69.8,592.58,98.25,8.51,"Kab. Aceh Timur2011","baik"
69.86,594.86,98.27,8.53,"Kab. Aceh Timur2012","baik"
68.46,587.69,97.05,9.02,"Kab. Aceh Tengah2004","tidak baik"
69.07,594.16,97.47,9,"Kab. Aceh Tengah2005","baik"
69.2,597.32,97.47,9,"Kab. Aceh Tengah2006","baik"
69.31,606.22,97.47,9.27,"Kab. Aceh Tengah2007","baik"
69.42,612.61,98.08,9.29,"Kab. Aceh Tengah2008","baik"
69.53,615.51,98.13,9.44,"Kab. Aceh Tengah2009","baik"
69.64,618.69,98.6,9.52,"Kab. Aceh Tengah2010","baik"
69.7,622.73,98.65,9.7,"Kab. Aceh Tengah2011","baik"
69.76,625.37,98.65,9.71,"Kab. Aceh Tengah2012","baik"
68.7,575.44,89.12,8.1,"Kab. Aceh Barat2004","tidak baik"
68.87,580.93,89.87,8.2,"Kab. Aceh Barat2005","tidak baik"
69.6,584.03,89.87,8.2,"Kab. Aceh Barat2006","tidak baik"
69.69,586.91,94.06,8.2,"Kab. Aceh Barat2007","tidak baik"
69.78,591.18,94.06,8.2,"Kab. Aceh Barat2008","tidak baik"
69.87,598.72,94.08,8.23,"Kab. Aceh Barat2009","baik"
69.97,600.36,94.53,8.48,"Kab. Aceh Barat2010","baik"
70.06,604.24,94.6,8.54,"Kab. Aceh Barat2011","baik"
70.15,607.02,94.96,8.8,"Kab. Aceh Barat2012","baik"
69.8,586.3,96.1,9.36,"Kab. Aceh Besar2004","baik"
69.97,593.15,96.93,9.35,"Kab. Aceh Besar2005","baik"
70.3,596.31,96.93,9.4,"Kab. Aceh Besar2006","baik"
70.42,605.6,96.93,9.48,"Kab. Aceh Besar2007","baik"
70.52,606.5,96.93,9.48,"Kab. Aceh Besar2008","baik"
70.64,608.63,96.95,9.51,"Kab. Aceh Besar2009","baik"
70.75,610.3,96.96,9.55,"Kab. Aceh Besar2010","baik"
70.81,614.39,96.98,9.77,"Kab. Aceh Besar2011","baik"
70.87,617.09,96.98,9.84,"Kab. Aceh Besar2012","baik"
68.2,590.61,93.86,8.3,"Kab. Pidie2004","tidak baik"
68.37,594.86,94.53,8.54,"Kab. Pidie2005","tidak baik"
68.7,598.02,94.53,8.6,"Kab. Pidie2006","tidak baik"
68.94,606.32,94.53,8.6,"Kab. Pidie2007","baik"
69.11,608.11,95.51,8.6,"Kab. Pidie2008","baik"
69.32,611.05,95.56,8.65,"Kab. Pidie2009","baik"
69.53,612.56,95.91,8.67,"Kab. Pidie2010","baik"
69.68,616.29,96.3,8.72,"Kab. Pidie2011","baik"
69.84,620.01,96.31,8.74,"Kab. Pidie2012","baik"
72.1,578.5,96.8,9.1,"Kab. Bireuen2004","baik"
72.15,581.58,96.8,9.1,"Kab. Bireuen2005","baik"
72.2,584.67,98.34,9.2,"Kab. Bireuen2006","baik"
72.22,587.78,98.34,9.2,"Kab. Bireuen2007","baik"
72.28,589.4,98.34,9.2,"Kab. Bireuen2008","baik"
72.32,592.06,98.37,9.23,"Kab. Bireuen2009","baik"
72.35,593.96,98.47,9.26,"Kab. Bireuen2010","baik"
72.39,597.44,98.51,9.28,"Kab. Bireuen2011","baik"
72.43,601.22,98.51,9.29,"Kab. Bireuen2012","baik"
68.94,575.35,94.43,8.9,"Kab. Aceh Utara2004","tidak baik"
69.1,587.21,94.85,9,"Kab. Aceh Utara2005","tidak baik"
69.3,590.34,96.04,9.1,"Kab. Aceh Utara2006","baik"
69.41,601.82,96.04,9.1,"Kab. Aceh Utara2007","baik"
69.52,602.19,96.04,9.1,"Kab. Aceh Utara2008","baik"
69.63,605.69,96.42,9.12,"Kab. Aceh Utara2009","baik"
69.74,607.9,97.81,9.15,"Kab. Aceh Utara2010","baik"
69.8,612.04,97.83,9.19,"Kab. Aceh Utara2011","baik"
69.86,614.35,97.83,9.2,"Kab. Aceh Utara2012","baik"
65.17,582.26,94.95,7.21,"Kab. Aceh Barat Daya2004","tidak baik"
65.39,589.51,95.7,7.4,"Kab. Aceh Barat Daya2005","tidak baik"
66,592.65,95.7,7.5,"Kab. Aceh Barat Daya2006","tidak baik"
66.3,601.49,95.7,7.5,"Kab. Aceh Barat Daya2007","tidak baik"
66.49,611.73,96.22,7.5,"Kab. Aceh Barat Daya2008","tidak baik"
66.74,614.26,96.25,7.63,"Kab. Aceh Barat Daya2009","tidak baik"
66.99,617.5,96.34,7.72,"Kab. Aceh Barat Daya2010","baik"
67.19,621.49,96.47,8.01,"Kab. Aceh Barat Daya2011","baik"
67.38,625.24,96.47,8.25,"Kab. Aceh Barat Daya2012","baik"
65.9,580.49,85.47,8.3,"Kab. Gayo Lues2004","tidak baik"
66.2,587.72,86.7,8.6,"Kab. Gayo Lues2005","tidak baik"
66.6,590.85,86.7,8.7,"Kab. Gayo Lues2006","tidak baik"
66.73,596.1,86.7,8.7,"Kab. Gayo Lues2007","tidak baik"
66.84,596.44,86.7,8.7,"Kab. Gayo Lues2008","tidak baik"
66.96,600.15,86.97,8.71,"Kab. Gayo Lues2009","tidak baik"
67.08,601.96,87.27,8.71,"Kab. Gayo Lues2010","tidak baik"
67.15,605.62,87.38,8.73,"Kab. Gayo Lues2011","tidak baik"
67.22,607.65,87.89,8.74,"Kab. Gayo Lues2012","tidak baik"
67.2,568.71,97.93,8.08,"Kab. Aceh Tamiang2004","tidak baik"
67.79,575.61,98,8.3,"Kab. Aceh Tamiang2005","tidak baik"
68,578.67,98,8.4,"Kab. Aceh Tamiang2006","tidak baik"
68.09,583.72,98,8.4,"Kab. Aceh Tamiang2007","tidak baik"
68.18,591.29,98,8.4,"Kab. Aceh Tamiang2008","tidak baik"
68.27,595.4,98.25,8.77,"Kab. Aceh Tamiang2009","baik"
68.37,598.26,98.27,8.78,"Kab. Aceh Tamiang2010","baik"
68.47,602.79,98.32,8.85,"Kab. Aceh Tamiang2011","baik"
68.57,607.12,98.33,8.86,"Kab. Aceh Tamiang2012","baik"
68.9,575.57,89.28,6.33,"Kab. Nagan Raya2004","tidak baik"
69.07,583.13,89.7,6.4,"Kab. Nagan Raya2005","tidak baik"
69.2,586.23,89.7,6.7,"Kab. Nagan Raya2006","tidak baik"
69.31,589.38,89.7,7.32,"Kab. Nagan Raya2007","tidak baik"
69.42,599.28,89.7,7.32,"Kab. Nagan Raya2008","tidak baik"
69.53,601.67,89.78,7.34,"Kab. Nagan Raya2009","tidak baik"
69.64,604.08,89.85,7.57,"Kab. Nagan Raya2010","tidak baik"
69.7,608.27,89.89,7.75,"Kab. Nagan Raya2011","tidak baik"
69.76,611.39,91.77,8.11,"Kab. Nagan Raya2012","baik"
66.86,575.46,89.63,8.64,"Kab. Aceh Jaya2004","tidak baik"
67.02,581.59,89.9,8.7,"Kab. Aceh Jaya2005","tidak baik"
67.8,584.68,91.06,8.7,"Kab. Aceh Jaya2006","tidak baik"
67.84,588.36,91.78,8.7,"Kab. Aceh Jaya2007","tidak baik"
67.91,591.47,93.73,8.7,"Kab. Aceh Jaya2008","tidak baik"
67.97,596.69,93.78,8.71,"Kab. Aceh Jaya2009","tidak baik"
68.02,598.56,93.99,8.72,"Kab. Aceh Jaya2010","tidak baik"
68.08,602.5,94.12,8.73,"Kab. Aceh Jaya2011","tidak baik"
68.13,604.83,94.76,8.73,"Kab. Aceh Jaya2012","baik"
65.8,575.1,96,7.8,"Kab. Bener Meriah2004","tidak baik"
66.39,580.86,96.4,8,"Kab. Bener Meriah2005","tidak baik"
67.2,583.95,96.4,8.1,"Kab. Bener Meriah2006","tidak baik"
67.31,587.03,97.19,8.49,"Kab. Bener Meriah2007","tidak baik"
67.41,597.84,97.19,8.49,"Kab. Bener Meriah2008","tidak baik"
67.52,603.78,97.45,8.53,"Kab. Bener Meriah2009","baik"
67.63,605.49,98.5,8.77,"Kab. Bener Meriah2010","baik"
67.69,610.71,98.79,8.81,"Kab. Bener Meriah2011","baik"
67.74,614.81,98.79,8.83,"Kab. Bener Meriah2012","baik"
68.8,596.2,94.2,8,"Kab. Pidie Jaya2006","tidak baik"
68.91,602.87,94.2,8,"Kab. Pidie Jaya2007","tidak baik"
69.02,618.56,94.2,8,"Kab. Pidie Jaya2008","baik"
69.13,620.18,94.23,8.38,"Kab. Pidie Jaya2009","baik"
69.24,622.16,95.45,8.64,"Kab. Pidie Jaya2010","baik"
69.3,626.89,95.48,8.68,"Kab. Pidie Jaya2011","baik"
69.36,630.37,95.48,8.69,"Kab. Pidie Jaya2012","baik"
68.6,614.04,98.8,11.2,"Kota Banda Aceh2004","baik"
68.69,621.04,99.03,11.2,"Kota Banda Aceh2005","baik"
69.6,624.35,99.03,11.2,"Kota Banda Aceh2006","baik"
69.99,626.44,99.03,11.86,"Kota Banda Aceh2007","baik"
70.24,630.25,99.03,11.86,"Kota Banda Aceh2008","baik"
70.56,630.63,99.1,11.91,"Kota Banda Aceh2009","baik"
70.88,632.24,99.16,12.09,"Kota Banda Aceh2010","baik"
71.15,636.28,99.18,12.2,"Kota Banda Aceh2011","baik"
71.42,640.06,99.25,12.25,"Kota Banda Aceh2012","baik"
69.4,607.81,97.87,9.44,"Kota Sabang2004","baik"
69.61,615.08,98.16,9.5,"Kota Sabang2005","baik"
69.7,618.36,98.16,9.6,"Kota Sabang2006","baik"
70.1,620.65,98.26,10.13,"Kota Sabang2007","baik"
70.36,623.14,98.78,10.23,"Kota Sabang2008","baik"
70.69,625.82,98.81,10.36,"Kota Sabang2009","baik"
71.02,627.35,98.99,10.55,"Kota Sabang2010","baik"
71.3,631.1,99.08,10.59,"Kota Sabang2011","baik"
71.59,634.22,99.09,10.6,"Kota Sabang2012","baik"
68.26,582.82,96.56,9.23,"Kota Langsa2004","tidak baik"
68.86,588.38,97,9.3,"Kota Langsa2005","baik"
69.7,591.52,98.47,9.4,"Kota Langsa2006","baik"
69.96,595.18,98.75,9.7,"Kota Langsa2007","baik"
70.14,599.51,98.75,9.88,"Kota Langsa2008","baik"
70.36,600.66,99.1,10.04,"Kota Langsa2009","baik"
70.58,603.34,99.2,10.45,"Kota Langsa2010","baik"
70.75,607.95,99.3,10.51,"Kota Langsa2011","baik"
70.93,610.79,99.31,10.59,"Kota Langsa2012","baik"
68.26,617.31,98.17,9.63,"Kota Lhokseumawe2004","baik"
68.41,618.2,98.6,9.7,"Kota Lhokseumawe2005","baik"
69.2,621.49,98.82,9.7,"Kota Lhokseumawe2006","baik"
69.7,628.3,98.82,9.7,"Kota Lhokseumawe2007","baik"
70,630.77,98.82,9.7,"Kota Lhokseumawe2008","baik"
70.41,631.63,99.22,9.91,"Kota Lhokseumawe2009","baik"
70.81,634.07,99.62,9.99,"Kota Lhokseumawe2010","baik"
71.17,638.45,99.64,10.04,"Kota Lhokseumawe2011","baik"
71.47,640.07,99.65,10.38,"Kota Lhokseumawe2012","baik"
65.2,599.9,96.5,7.5,"Kota Subulussalam2006","tidak baik"
65.4,604.56,96.5,7.5,"Kota Subulussalam2007","tidak baik"
65.54,605.35,96.5,7.5,"Kota Subulussalam2008","tidak baik"
65.71,608.74,96.53,7.58,"Kota Subulussalam2009","tidak baik"
65.89,612.77,96.54,7.59,"Kota Subulussalam2010","tidak baik"
66.01,616.48,96.55,7.61,"Kota Subulussalam2011","tidak baik"
66.13,620.99,96.55,7.63,"Kota Subulussalam2012","baik"
67.9,589.38,86.02,5.98,"Kab. Nias2004","tidak baik"
68.73,591.47,87.07,6.18,"Kab. Nias2005","tidak baik"
68.7,592.41,89.45,6.4,"Kab. Nias2006","tidak baik"
68.98,593.94,89.45,6.4,"Kab. Nias2007","tidak baik"
69.15,598.85,89.45,6.4,"Kab. Nias2008","tidak baik"
69.38,605.61,89.75,6.41,"Kab. Nias2009","tidak baik"
69.6,607.16,90.44,6.41,"Kab. Nias2010","tidak baik"
69.77,610.4,90.78,6.42,"Kab. Nias2011","tidak baik"
69.94,614.77,90.79,6.46,"Kab. Nias2012","tidak baik"
62.5,612.92,98.06,7.26,"Kab. Mandailing Natal2004","tidak baik"
63,623.44,98.1,7.6,"Kab. Mandailing Natal2005","tidak baik"
63.3,624.38,99.31,7.7,"Kab. Mandailing Natal2006","tidak baik"
63.43,624.66,99.31,7.7,"Kab. Mandailing Natal2007","tidak baik"
63.46,629.74,99.31,7.7,"Kab. Mandailing Natal2008","tidak baik"
63.54,633.72,99.32,7.71,"Kab. Mandailing Natal2009","baik"
63.62,636.51,99.33,7.8,"Kab. Mandailing Natal2010","baik"
63.7,640.33,99.34,7.92,"Kab. Mandailing Natal2011","baik"
63.79,644.44,99.34,7.96,"Kab. Mandailing Natal2012","baik"
66.4,612.76,99.26,8.7,"Kab. Tapanuli Selatan2004","baik"
66.6,624.16,99.53,8.91,"Kab. Tapanuli Selatan2005","baik"
66.9,625.12,99.74,8.9,"Kab. Tapanuli Selatan2006","baik"
66.93,631.41,99.74,8.9,"Kab. Tapanuli Selatan2007","baik"
66.99,635.81,99.76,8.9,"Kab. Tapanuli Selatan2008","baik"
67.03,639.12,99.79,8.93,"Kab. Tapanuli Selatan2009","baik"
67.21,642.53,99.81,8.94,"Kab. Tapanuli Selatan2010","baik"
67.34,647.03,99.83,8.95,"Kab. Tapanuli Selatan2011","baik"
67.48,650.18,99.83,8.97,"Kab. Tapanuli Selatan2012","baik"
66.78,595.95,95.4,7.8,"Kab. Tapanuli Tengah2004","tidak baik"
67,598.97,95.6,7.99,"Kab. Tapanuli Tengah2005","tidak baik"
67.3,603.56,95.6,8.1,"Kab. Tapanuli Tengah2006","tidak baik"
67.56,608.3,95.6,8.1,"Kab. Tapanuli Tengah2007","baik"
67.71,612.93,95.74,8.1,"Kab. Tapanuli Tengah2008","baik"
67.91,616.8,95.75,8.12,"Kab. Tapanuli Tengah2009","baik"
68.11,618.97,95.78,8.13,"Kab. Tapanuli Tengah2010","baik"
68.26,623.03,95.82,8.15,"Kab. Tapanuli Tengah2011","baik"
68.4,626.92,95.84,8.19,"Kab. Tapanuli Tengah2012","baik"
