price,bedrooms,bathrooms,waterfront,view,condition,grade,yr_built,yr_renovated,long,lat,m2_living,m2_lot,floors,m2_above,m2_basement,m2_living15,m2_lot15
221900.00,3,1,0,0,3,7,1955,0,-122.257,47.5112,109.62554,524.90195,0.092903,109.62554,0,124.49002,524.90195
538000.00,3,2.25,0,0,3,7,1951,1991,-122.319,47.721,238.76071,672.803526,0.185806,201.59951,37.1612,157.00607,709.686017
180000.00,2,1,0,0,3,6,1933,0,-122.233,47.7379,71.53531,929.03,0.092903,71.53531,0,252.69616,748.983986
604000.00,4,3,0,0,5,7,1965,0,-122.393,47.5208,182.08988,464.515,0.092903,97.54815,84.54173,126.34808,464.515
510000.00,3,2,0,0,3,8,1987,0,-122.045,47.6168,156.07704,750.65624,0.092903,156.07704,0,167.2254,697.051209
1225000.00,4,4.5,0,0,3,11,2001,0,-122.005,47.6561,503.53426,9469.60279,0.092903,361.39267,142.14159,442.21828,9469.60279
257500.00,3,2.25,0,0,3,7,1995,0,-122.327,47.3097,159.328645,633.505557,0.185806,159.328645,0,207.916914,633.505557
291850.00,3,1.5,0,0,3,7,1963,0,-122.315,47.4095,98.47718,902.181033,0.092903,98.47718,0,153.28995,902.181033
229500.00,3,1,0,0,3,7,1960,0,-122.337,47.5123,165.36734,693.98541,0.092903,97.54815,67.81919,165.36734,753.722039
323000.00,3,2.5,0,0,3,7,2003,0,-122.031,47.3684,175.58667,609.44368,0.185806,175.58667,0,222.03817,703.27571
662500.00,3,2.5,0,0,3,8,1965,0,-122.145,47.6007,330.73468,910.077788,0.092903,172.79958,157.9351,205.31563,829.159275
468000.00,2,1,0,0,4,7,1942,0,-122.292,47.69,107.76748,557.418,0.092903,79.89658,27.8709,123.56099,557.418
310000.00,3,1,0,0,4,7,1927,0,-122.229,47.7558,132.85129,1848.862603,0.1393545,132.85129,0,165.36734,1179.589391
400000.00,3,1.75,0,0,4,7,1977,0,-122.045,47.6127,127.27711,899.30104,0.092903,127.27711,0,127.27711,948.353824
530000.00,5,2,0,0,3,7,1900,0,-122.394,47.67,168.15443,450.57955,0.1393545,168.15443,0,126.34808,450.57955
650000.00,4,3,0,3,3,9,1979,0,-122.375,47.5714,274.06385,464.515,0.185806,183.94794,90.11591,198.81242,371.612
395000.00,3,2,0,0,3,7,1994,0,-121.962,47.7277,175.58667,1304.35812,0.185806,175.58667,0,175.58667,1302.314254
485000.00,4,1,0,0,4,7,1916,0,-122.343,47.6648,148.6448,399.4829,0.1393545,148.6448,0,149.57383,399.4829
189000.00,2,1,0,0,4,7,1921,0,-122.21,47.3089,111.4836,915.09455,0.092903,111.4836,0,98.47718,473.340785
230000.00,3,1,0,0,4,7,1969,0,-122.306,47.3343,116.12875,908.033922,0.092903,116.12875,0,118.91584,822.19155
385000.00,4,1.75,0,0,4,7,1947,0,-122.341,47.7025,150.50286,462.65694,0.092903,79.89658,70.60628,130.0642,462.65694
2000000.00,3,2.75,0,4,3,9,1968,0,-122.233,47.5316,283.35415,4168.278901,0.092903,216.46399,66.89016,381.83133,1889.275408
